ID,PMID,DOI,Hardy-Weinberg value,hbaa,hbas,hbss,HbAC,HbSC,HbCC,HbFA,HbFAS,HbFS,HbFSC,HbFAC,Other bloodtyping,Typing method,Demographic (age in years),Spatial location(s),ADM-0 (country),ADM-1,ADM-2,ADM-3,ADM-4,Adjusted longitude,Adjusted latitude,Original longitude,Original latitude,API ADM,API Lon,Lon-API Lon,API Lat,Lat-API Lat,Spatial accuracy,Area finest spatial unit [sq.km],Study period FROM,Study period TO,Publication year,identifiedproblem
1,31714694,10.13110/humanbiology.90.4.02,1.001286598,769,49,1,,,,,,,,,,genotyping,adults and adolescents,Buenaventura municipality,Colombia,Valle del Cauca Department,Buenaventura,,,-77.0710,3.8890,-77.0710,3.8890,Buenaventura,-77.0197,-0.0513,3.883047,0.0060,ADM-2,6292,NA,NA,2019,FALSE
2,24038490,10.1002/ajh.23578,,,,,,,,28182,7666,550,7,21,27,bloodtyping,newborns,two hospitals in Luanda,Angola,Luanda province,Luanda municipality,,,13.3171,-8.8678,13.3171,-8.8678,Luanda municipality,13.23018,0.0869,-8.81466,-0.0531,ADM-2,18835,1/7/2011,30/6/2013,2013,FALSE
3,26687956,10.1016/S2352-3026(15)00043-5,1.021369332,1206,220,2,103,11,1,,,,,,,HPLC,0.5-17 years,"Adjacent villages of Kenieroba, Fourda, and Bozokin",Mali,Koulikoro,Kati (to be checked),,"Kenieroba, Fourda, and Bozokin",-9.4932,13.1144,-9.4932,13.1144,"Kenieroba, Fourda, and Bozokin",-8.33151,-1.1617,12.11328,1.0011,ADM-4,625,5/1/2008,12/29/2011,2015,FALSE
4,31037173,10.11604/pamj.2018.31.113.15097,1.033699736,169,38,0,1,0,0,,,,,,,Sysmex haematology autoanalyser,1-14 years,"Majority of the patients: Lagos and other states in the southwest geopolitical zone of the country, with a few coming from the rest of Nigeria and neighbouring West African countries.",Nigeria,Lagos,Lagos,Yaba,,,,,,Yaba,,0.0000,,0.0000,ADM-0,,3/1/2017,7/31/2017,2018,FALSE
5,25271992,10.3109/03630269.2014.963234,1.025360749,359,68,0,115,9,19,,,,,,,electro-phoresis at alkaline pH,6-9 years,children attending the four public primary schools of the Agbande ?-Yaka Township in the administrationtown of Doufelgou in Togo,Togo,Kara,Doufelgou,,,1.0991,9.8069,1.0991,9.8069,Doufelgou,1.09694,0.0022,9.766113,0.0408,ADM-2,500,3/1/2010,6/30/2010,2014,FALSE
6,23513007,10.1177/1010539513480231,1.000918274,160,5,0,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Bondo tribe,India,Odisha,Malkangiri,,,81.9000,18.3500,81.9000,18.3500,Malkangiri,81.88253,0.0175,18.34359,0.0064,ADM-2,6000,1/1/2000,31/12/2005,2013,FALSE
7,23513007,10.1177/1010539513480231,0.9927807642,218,8,1,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Didayi tribe,India,Odisha,Malkangiri,,,81.9000,18.3500,81.9000,18.3500,Malkangiri,81.88253,0.0175,18.34359,0.0064,ADM-2,6000,1/1/2000,31/12/2005,2013,FALSE
8,23513007,10.1177/1010539513480231,0.9960162606,448,8,1,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Juanga tribe,India,Odisha,Kandhamal,,,84.0806,20.1608,84.0806,20.1608,Kandhamal,84.01674,0.0639,20.1342,0.0266,ADM-2,7600,1/1/2000,31/12/2005,2013,FALSE
9,23513007,10.1177/1010539513480231,0.9899377778,366,7,2,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Kondha tribe,India,Odisha,Keonjhar,,,85.5861,21.6245,85.5861,21.6245,Keonjhar,85.58168,0.0044,21.62893,-0.0044,ADM-2,8300,1/1/2000,31/12/2005,2013,FALSE
10,23513007,10.1177/1010539513480231,0.9925525105,535,61,6,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Madia tribe,India,Maharshtra,Gadchiroli,,,80.0028,20.1854,80.0028,20.1854,Gadchiroli,79.9948,0.0080,20.18487,0.0005,ADM-2,14400,1/1/2000,31/12/2005,2013,FALSE
11,23513007,10.1177/1010539513480231,0.9900571994,526,62,7,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Kolam Tribe,India,Maharshtra,Yavatmal,,,78.1204,20.3888,78.1204,20.3888,Yavatmal,78.13068,-0.0103,20.38994,-0.0011,ADM-2,13500,1/1/2000,31/12/2005,2013,FALSE
12,23513007,10.1177/1010539513480231,1.00744589,766,109,4,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Katkari Tribe,India,Maharshtra,Raigad,,,73.1662,18.2331,73.1662,18.2331,Raigad,73.09469,0.0715,18.73579,-0.5027,ADM-2,7000,1/1/2000,31/12/2005,2013,FALSE
13,23513007,10.1177/1010539513480231,1.013690366,244,40,1,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Kotvadia tribe,India,Gujarat,Sabarkantha ,,,72.9933,23.2531,73.4090,23.2531,Sabarkantha,72.9933,0.4157,23.84767,-0.5946,ADM-2,7400,1/1/2000,31/12/2005,2013,FALSE
14,23513007,10.1177/1010539513480231,1.014267992,575,78,0,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Kolcha Tribe,India,Gujarat,Navsari,,,72.9529,20.9467,72.9529,20.9467,Navsari,72.95203,0.0009,20.9467,0.0000,ADM-2,2200,1/1/2000,31/12/2005,2013,FALSE
15,23513007,10.1177/1010539513480231,1.023478148,105,19,0,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Kathodi Tribe,India,Gujarat,Surat,,,72.8311,21.1702,72.8311,21.1702,Surat,72.83106,0.0000,21.17024,0.0000,ADM-2,4400,1/1/2000,31/12/2005,2013,FALSE
16,23513007,10.1177/1010539513480231,1.01201562,553,125,9,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Irula Tribe,India,Tamil Nado,Nilgiri,,,76.6932,11.4009,76.6932,11.4009,Nilgiri,76.73365,-0.0404,11.4916,-0.0907,ADM-2,2400,1/1/2000,31/12/2005,2013,FALSE
17,23513007,10.1177/1010539513480231,1.01026747,311,68,5,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Kurumba,India,Tamil Nado,Nilgiri,,,76.6932,11.4009,76.6932,11.4009,Nilgiri,76.73365,-0.0404,11.4916,-0.0907,ADM-2,2400,1/1/2000,31/12/2005,2013,FALSE
18,23513007,10.1177/1010539513480231,1.019183288,250,67,5,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Moolu Kurumba,India,Tamil Nado,Nilgiri,,,76.6932,11.4009,76.6932,11.4009,Nilgiri,76.73365,-0.0404,11.4916,-0.0907,ADM-2,2400,1/1/2000,31/12/2005,2013,FALSE
19,23513007,10.1177/1010539513480231,1.013686383,236,60,5,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Paniya,India,Tamil Nado,Nilgiri,,,76.6932,11.4009,76.6932,11.4009,Nilgiri,76.73365,-0.0404,11.4916,-0.0907,ADM-2,2400,1/1/2000,31/12/2005,2013,FALSE
20,28589738,10.1080/03630269.2017.1321014,1,87,0,0,8,2,1,,,,,,,HPLC,6-12 years,Laje dos Negros,Brazil,Baia,Laje dos Negros,,,-40.9604,-10.1830,-40.9604,-10.1830,Laje dos Negros,-41.0394,0.0790,-10.2263,0.0433,ADM-2,2500,1/10/2010,31/3/2011,2017,FALSE
21,28589738,10.1080/03630269.2017.1321014,1.001073011,1116,61,1,65,2,1,,,,,,,HPLC,6-12 years,São Francisco do Conde,Brazil,Baia,São Francisco do Conde,,,-38.6775,-12.6184,-38.6775,-12.6184,São Francisco do Conde,-38.6779,0.0004,-12.6272,0.0088,ADM-2,260,1/10/2010,31/3/2011,2017,FALSE
22,28589738,10.1080/03630269.2017.1321014,0.9922565459,1152,67,7,2,4,0,,,,,,8,HPLC,1-89 years,Piauí,Brazil,Piauí,,,,-43.1747,-8.2479,-42.2042,-8.2479,Piauí,-43.1747,0.9705,-8.32295,0.0751,ADM-1,251529,1/10/2010,31/3/2011,2017,FALSE
23,28589738,10.1080/03630269.2017.1321014,0.9952147404,245,13,1,0,0,0,,,,,,,HPLC,10-88 years,Saracura and Arapem,Brazil,Pará,,,,-52.7028,-6.2071,-48.2176,-1.3087,Pará,-52.7028,4.4852,-6.2071,4.8984,ADM-1,1247689,1/10/2010,31/3/2011,2017,FALSE
24,26658219,10.1136/jclinpath-2015-203199,1.016608997,272,64,4,,,,,,,,,9,Sysmex XP-300 automated blood counter,6-12 years,Siwa,Egypt,Matrouh Governorate,Siwa,Siwa Oasis,,25.5178,29.2011,25.5178,29.2011,Siwa Oasis,25.51955,-0.0017,29.20317,-0.0021,ADM-3,1600,NA,NA,2016,FALSE
25,23757318,10.1002/ajh.23510,,,,,,,,1941,247,10,3,57,,bloodtyping,newborns,Port-au-Prince,Haiti,Ouest,Arrondissement de Port-au-Prince,Port-au-Prince,,-72.3350,18.5392,-72.3350,18.5392,Port-au-Prince,-72.3074,-0.0276,18.5944,-0.0552,ADM-3,36,1/10/2010,31/12/2010,2013,FALSE
26,29313430,10.1080/03630269.2017.1414058,0.9970943859,2516,101,6,,,,,,,,,,gelelectrophoresis,0.5-40 years,Tharu population,Nepal,Lumbini Province,Dang District,,,73.7007,20.8254,82.5315,27.9758,Dang District,73.70071,8.8308,20.82538,7.1504,ADM-2,2952,NA,NA,2017,FALSE
27,24398797,10.1038/ejhg.2013.286,,,,,,,,33733,265,10,4,23,49,HPLC ,newborns,Berlin,Germany,Berlin,Berlin,,,13.4050,52.5200,13.4050,52.5200,Berlin,13.40495,0.0000,52.52001,0.0000,ADM-2,892,1/9/2011,30/11/2012,2014,FALSE
28,22712682,10.3109/03630269.2012.691434,,,,,,,,7595,536,88,,,8,HPLC,mothers and newborns,Nagpur district,India,Maharashtra,Nagpur district,,,79.0881,21.1460,79.0881,21.1460,Nagpur district,79.19999,-0.1119,21.31702,-0.1710,ADM-2,230,1/10/2009,1/8/2011,2012,FALSE
29,25707678,10.3109/03630269.2015.1012294,1.056465052,154,48,0,,,,,,,,,,Chelex-based method ,2 months - 90 years,"Ciriboya, Colón",Honduras,Colón,Iriona,Ciriboya,,-85.2105,15.5455,-85.2105,15.5455,Ciriboya,-85.1827,-0.0278,15.90436,-0.3589,ADM-3,1663,1/1/2014,31/1/2014,2015,FALSE
30,29233055,10.1080/03630269.2017.1405820,1.000053822,12017,179,1,,,1,,,,,,95,bloodtyping,mothers and newborns,Modena,Italy,Emilia-Romagna,Modena,,,10.9252,44.6471,10.9252,44.6471,Modena,10.92523,0.0000,44.64713,0.0000,ADM-2,2688,1/1/2011,31/1/2013,2017,FALSE
31,23557107,10.1186/1756-0500-6-132,1.023219955,89,16,0,1,,0,,,,,,,Minicap capillary electrophoresis ,16-81 years,"Ambuqui Parish (Parroquia)",Ecuador,Imbabura Province,"Ibarra Canton","Ambuqui Parish (Parroquia)",,-78.1494,0.3989,-78.1494,0.3989,Ambuqui Parish (Parroquia),-78.0053,-0.1441,0.447329,-0.0484,ADM-3,500,NA,NA,2013,FALSE
32,20800861,10.1016/j.trstmh.2010.08.001,1.001344535,1496,157,7,415,17,16,,,,,,,"HemoCuephotometer(HemoCueAB,Ångelholm,Sweden)",0.5-9 years ,Northern Region,Ghana,Northern Region,,,,-0.1495,9.4494,-0.8509,9.4494,Northern Region,-0.1495,-0.7014,9.367277,0.0821,ADM-1,70384,1/1/2002,30/4/2002,2010,FALSE
33,36386848,10.3389/fgene.2022.1013858,1.035019596,130,35,1,1,,,,,,,,,HemoType SC,newborns,UATH: University of Abuja Teaching Hospital,Nigeria,Abuja,Gwagwalada,,,7.4913,9.0723,7.4913,9.0723,Gwagwalada,7.076737,0.4146,8.950833,0.1214,ADM-1,1480,NA,NA,2022,FALSE
34,36386848,10.3389/fgene.2022.1013859,1.023668639,11,2,,,,,,,,,,,HemoType SC,newborns,KHC: Kutunku Health Center,Nigeria,Abuja,Gwagwalada,Kutunku,,7.4913,9.0723,7.4913,9.0723,Kutunku,6.059913,1.4314,9.789668,-0.7174,ADM-1,1480,NA,NA,2022,FALSE
35,36386848,10.3389/fgene.2022.1013860,1.04,20,5,,,,,,,,,,,HemoType SC,newborns,TUNG: Tunga Maje Primary Health Center,Nigeria,Abuja,Gwagwalada,Tunga Maje,,7.4913,9.0723,7.4913,9.0723,Tunga Maje,7.192497,0.2988,9.055627,0.0166,ADM-1,1480,NA,NA,2022,FALSE
36,36386848,10.3389/fgene.2022.1013861,1.04,12,3,,,,,,,,,,,HemoType SC,newborns,ORO: Orozo Primary Health Center,Nigeria,Abuja,Federal Capital Territory ,Orozo,,7.4913,9.0723,7.4913,9.0723,Orozo,7.570769,-0.0795,8.89999,0.1723,ADM-1,1480,NA,NA,2022,FALSE
37,36386848,10.3389/fgene.2022.1013862,1.006072084,208,50,5,,,,,,,,,,HemoType SC,newborns,GTC: Gwagwalada Town Clinic,Nigeria,Abuja,Gwagwalada,,,7.4913,9.0723,7.4913,9.0723,Gwagwalada,7.076737,0.4146,8.950833,0.1214,ADM-1,1480,NA,NA,2022,FALSE
38,30538594,10.2147/JBM.S177203,1.000836691,235,7,,,,,,,,,,,Rapid  sickle  cell  hemoglobin-S  (dithionate  qualitative  solubility) test,18-49 years,"Namisindwa District, Eastern Region, Uganda",Uganda,Eastern Region,Namisindwa,,,34.3677,0.9076,34.3677,0.9076,Namisindwa,,34.3677,,0.9076,ADM-2,250,1/5/2017,1/11/2017,2022,FALSE
39,26739520,10.1002/pbc.25875,,,,,,,,2418,274,28,,28,37, isoelectric focusing,newborns,Monrovia,Liberia,Montserrado County,Greater Monrovia District ,Monrovia,,-10.7605,6.2907,-10.7605,6.2907,Monrovia,-10.8074,0.0469,6.315607,-0.0249,ADM-3,20,NA,NA,2016,FALSE
40,20569434,10.1186/1471-2326-10-5,1.002322852,231,50,5,,,,,,,,,,Hb electrophoresis,0.5-5 years,Mbale and Sironko districts,Uganda,Eastern Region,Mbale and Sironko districts,,,34.1875,1.1415,34.1876,1.1415,Mbale and Sironko districts,34.18101,0.0065,1.078444,0.0630,ADM-2,5000,1/3/2007,31/8/2007,2010,FALSE
41,20569434,10.1186/1471-2326-10-5,1.000883857,359,11,0,,,,,,,,,,Hb electrophoresis,0.5-5 years,Mbarara and Ntungamo districts,Uganda,Western Region,Mbarara and Ntungamo districts,,,30.3919,-0.6875,30.3919,-0.6875,Mbarara and Ntungamo districts,30.11232,0.2796,-0.44802,-0.2395,ADM-2,5000,1/3/2007,31/8/2007,2010,FALSE
42,20569434,10.1186/1471-2326-10-5,0.9681443529,168,27,6,,,,,,,,,,Hb electrophoresis,0.5-5 years,Bundibugyo district,Uganda,Western Region,Bundibugyo district,,,30.0239,0.6857,30.0239,0.6857,Bundibugyo district,30.0203,0.0036,0.685176,0.0005,ADM-2,2500,1/6/2009,31/7/2009,2010,FALSE
43,26977274,10.4084/MJHID.2016.015,1.000023844,183206,899,,,,,,,,,,,sickling  test method and sodium metabisulfite sickling test,NA,Beirut (south suburb),Lebanon,Beirut Governorate,Beirut district,Beirut,,35.5018,33.8938,35.5018,33.8938,Beirut,35.50178,0.0000,33.89379,0.0000,ADM-3,25,1/1/2002,31/12/2014,2016,FALSE
44,26833239,10.1016/S2214-109X(15)00288-0,1.008463472,12757,1896,69,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-0.667 years,,Uganda,Central 1,,,,31.6203,0.5343,31.6203,0.5343,Central 1,,31.6203,,0.5343,ADM-1,25000,1/2/2014,31/3/2015,2016,FALSE
45,26833239,10.1016/S2214-109X(15)00288-0,1.005494814,9442,1566,94,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-0.667 years,,Uganda,Central 2,,,,32.3833,0.4000,32.3833,0.4000,Central 2,,32.3833,,0.4000,ADM-1,15000,1/2/2014,31/3/2015,2016,FALSE
46,26833239,10.1016/S2214-109X(15)00288-0,1.016881033,5131,1306,96,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-1 years,,Uganda,East Central,,,,33.4667,0.8833,33.4667,0.8833,East Central,,33.4667,,0.8833,ADM-1,21000,1/2/2014,31/3/2015,2016,FALSE
47,26833239,10.1016/S2214-109X(15)00288-0,1.007199655,11499,1835,90,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-0.667 years,,Uganda,Kampala,,,,32.5811,0.3133,32.5811,0.3133,Kampala,32.58252,-0.0014,0.347596,-0.0343,ADM-1,190,1/2/2014,31/3/2015,2016,FALSE
48,26833239,10.1016/S2214-109X(15)00288-0,1.003599099,4014,752,60,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-0.917 years,,Uganda,Mid Eastern,,,,33.9597,1.0644,33.9597,1.0644,Mid Eastern,,33.9597,,1.0644,ADM-1,34000,1/2/2014,31/3/2015,2016,FALSE
49,26833239,10.1016/S2214-109X(15)00288-0,1.017350826,10028,2445,160,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-1 years,,Uganda,Mid Northern,,,,32.9097,2.2350,32.9097,2.2350,Mid Northern,,32.9097,,2.2350,ADM-1,48000,1/2/2014,31/3/2015,2016,FALSE
50,26833239,10.1016/S2214-109X(15)00288-0,1.003515878,11418,1431,64,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-0.833 years,,Uganda,Mid Western,,,,31.0972,0.8750,31.0972,0.8750,Mid Western,,31.0972,,0.8750,ADM-1,29000,1/2/2014,31/3/2015,2016,FALSE
51,26833239,10.1016/S2214-109X(15)00288-0,1.007899743,3676,702,46,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-0.833 years,,Uganda,North East,,,,34.3000,2.4167,34.3000,2.4167,North East,,34.3000,,2.4167,ADM-1,20000,1/2/2014,31/3/2015,2016,FALSE
52,26833239,10.1016/S2214-109X(15)00288-0,0.9989299774,12979,631,23,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-0.917 years,,Uganda,South Western,,,,30.2833,1.0000,30.2833,1.0000,South Western,,30.2833,,1.0000,ADM-1,45000,1/2/2014,31/3/2015,2016,FALSE
53,26833239,10.1016/S2214-109X(15)00288-0,1.011535339,2534,415,14,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-1 years,,Uganda,West Nile,,,,31.3333,3.2500,31.3333,3.2500,West Nile,,31.3333,,3.2500,ADM-1,28100,1/2/2014,31/3/2015,2016,FALSE
54,28766840,10.1002/pbc.26735,,,,,,,,861,181,13,,,,hemoglobinopathy screening,Newborns (aged 0–7 days),Northwestern ,Tanzania,"Kagera, Mara, Mwanza, Geita, Shinyanga, Simiyu, Kigoma, Tabora",,,,32.4002,-3.2722,32.4002,-3.2722,"Kagera, Mara, Mwanza, Geita, Shinyanga, Simiyu, Kigoma, Tabora",30.52791,1.8723,-4.6498,1.3776,ADM-0,,1/8/2014,1/9/2014,2017,FALSE
55,24808962,10.1155/2014/745245,1.006298816,232,20,,,,,,,,,,,"Sickling slide test and alkaline agarose gel hemoglobin electrophoresis, and amplified refractory mutation system-PCR",1-80 years,Bargarh and Kalahandi,India,Odisha,Bargarh and Kalahandi,,,83.3906,20.6263,83.3906,20.6263,Bargarh and Kalahandi,83.63202,-0.2415,21.34702,-0.7207,ADM-1,13757,1/1/2010,31/12/2013,2014,FALSE
56,24808962,10.1155/2014/745245,1.00398892,178,12,,,,,,,,,,,"Sickling slide test and alkaline agarose gel hemoglobin electrophoresis, and amplified refractory mutation system-PCR",1-80 years,Kalahandi,India,Odisha,Kalahandi,,,83.1649,19.9137,83.1649,19.9137,Kalahandi,83.1649,0.0000,19.91374,0.0000,ADM-2,7920,1/1/2010,31/12/2013,2014,FALSE
57,24808962,10.1155/2014/745245,1.009738573,137,15,,,,,,,,,,,"Sickling slide test and alkaline agarose gel hemoglobin electrophoresis, and amplified refractory mutation system-PCR",1-80 years,Bargarh,India,Odisha,Bargarh,,,83.6162,21.3389,83.6162,21.3389,Bargarh,83.63202,-0.0158,21.34702,-0.0081,ADM-2,5837,1/1/2010,31/12/2013,2014,FALSE
58,26275168,10.1002/pbc.25706,0.9996716825,16275,98,3,33,5,2,,,,,,,HPLC chromatography,newborns,Hamburg,Germany,Hamburg,Hamburg,,,10.0007,53.5503,10.0007,53.5503,Hamburg,9.98717,0.0135,53.54883,0.0015,ADM-2,1000,1/1/2013,31/05/2014,2015,FALSE
59,20722469,10.1089/gtmb.2010.0008,0.9999944595,431396,5236,33,837,7,,,,,,,278,HPLC,newborns,Rio Grande do Sul ,Brazil,Rio Grande do Sul,Rio Grande do Sul,,,-53.2123,-29.7472,-53.2123,-29.7472,Rio Grande do Sul,-51.6658,-1.5465,-29.3646,-0.3826,ADM-2,360000,1/1/2004,31/12/2007,2010,FALSE
60,19180301,10.1590/s0102-311x2009000100020,0.9992332216,112402,3760,109,,,,,,,,,,isoelectric focalization,newborns,Federal district,Brazil,Federal district,,,,-47.8828,-15.7939,-47.8828,-15.7939,Federal district,-99.1332,51.2504,19.43261,-35.2265,ADM-1,5802,1/1/2004,31/12/2006,2009,FALSE
61,27796853,10.1007/s12687-016-0283-3,1.005017494,56392,6559,204,2516,148,22,1,,8,5,,978,HPLC,newborns,"Almost the whole coutry(the programme began with Manchester parish and extended to the south, east, northeast southeast of Jamaica)",Jamaica,,,,,-77.2975,29.2033,-77.2975,29.2033,Jamaica,-77.2975,0.0000,18.10958,11.0937,ADM-0,10991,1/8/2008,31/12/2016,2016,FALSE
62,23771451,10.4103/1119-3077.113452,1.056069776,308,112,4,,,,,,,,,,"electrophoretic method (electrophoretic equipment model MUPID-EXU, Japan)",18-75 years,the General out Patient Clinic of Nnamdi Azikiwe University Teaching Hospital,Nigeria,Anambra State,Nnewi,,,6.9120,6.0197,6.9120,6.0197,Nnewi,6.910346,0.0017,6.010519,0.0092,ADM-2,520,1/11/2010,1/10/2011,2013,FALSE
63,27614873,10.1159/000448914,1.047243071,2617,746,4,4,,,,,,,,,cellulose acetate electrophoresis and self-report,25-35 years,40 churches across seven local government areas in Enugu State,Nigeria,Enugu State,,,,7.5073,6.9197,7.5073,6.9197,Enugu State,7.435619,0.0717,6.536353,0.3833,ADM-1,2763,1/3/2013,1/8/2013,2016,FALSE
64,23058858,10.2450/2012.0030-12,,,,,,,,1968,16,,,4,4,HPLC,newborns,the University Hospital of Ferrara,Italy,Emilia-Romagna,Ferrara,,,11.6099,44.8356,11.6099,44.8356,Ferrara,11.61979,-0.0099,44.83812,-0.0025,ADM-2,405.61,26/9/2010,31/1/2012,2013,FALSE
