name	p0_latitude	p0_longitude	p1_latitude	p1_longitude
highland 0	4.412170	33.472965	0.331139	35.626439
South Hor to Meru	2.182777	36.875985	0.136176	37.903981
Mount Kulal to Loita	2.690792	36.976135	-1.706443	35.883813
highland 1	2.477923	35.128781	1.176734	35.601193
highland 3	0.174314	35.609433	-1.018577	36.138323
highland 4	-1.635594	35.963301	-4.151584	35.571802
Kilimanjaro range 1	-5.044322	38.799593	-2.960985	37.257547
Mt Kenya	0.026900	37.497052	-0.336961	37.243730
Gaamo to Guld of Aden	5.853865	37.412748	10.247478	46.245756
Udzungawa	-5.779348	37.544623	-8.607073	35.793841
Gashaka-Gumti	7.739510	11.707259	5.846300	9.608778
Mt Buea	4.275657	9.247516	4.141450	9.151556
center highland 1	0.105379	29.355400	-1.402355	29.216211
center highland 2	-1.402355	29.216211	-3.865091	29.522432
center highland 3	-1.402355	29.216211	-2.372299	28.706522
center highland 4	-2.372299	28.706522	-3.907439	29.050808